2024-03-22 10:43:23,765 - connection - INFO - Клиент отключен: ('127.0.0.1', 57141)
2024-03-22 10:43:31,111 - connection - INFO - Подключение от ('127.0.0.1', 57143)
2024-03-22 10:43:31,112 - connection - INFO - Клиент подключен: ('127.0.0.1', 57143)
2024-03-22 10:43:31,113 - connection - INFO - Клиент отключен: ('127.0.0.1', 57143)
2024-03-22 10:43:32,171 - connection - INFO - Подключение от ('127.0.0.1', 57144)
2024-03-22 10:43:32,171 - connection - INFO - Клиент подключен: ('127.0.0.1', 57144)
2024-03-22 10:43:32,171 - connection - INFO - Клиент отключен: ('127.0.0.1', 57144)
2024-03-22 10:43:33,056 - connection - INFO - Подключение от ('127.0.0.1', 57145)
2024-03-22 10:43:33,057 - connection - INFO - Клиент подключен: ('127.0.0.1', 57145)
2024-03-22 10:43:33,057 - connection - ERROR - Соединение прервано: ('127.0.0.1', 57145)
2024-03-22 10:43:33,058 - connection - INFO - Клиент отключен: ('127.0.0.1', 57145)
2024-03-22 10:43:33,309 - connection - INFO - Подключение от ('127.0.0.1', 57146)
2024-03-22 10:43:33,309 - connection - INFO - Клиент подключен: ('127.0.0.1', 57146)
2024-03-22 10:43:33,310 - connection - ERROR - Соединение прервано: ('127.0.0.1', 57146)
2024-03-22 10:43:33,310 - connection - INFO - Клиент отключен: ('127.0.0.1', 57146)
2024-03-22 10:43:33,508 - connection - INFO - Подключение от ('127.0.0.1', 57147)
2024-03-22 10:43:33,508 - connection - INFO - Клиент подключен: ('127.0.0.1', 57147)
2024-03-22 10:43:33,508 - connection - INFO - Клиент отключен: ('127.0.0.1', 57147)
2024-03-22 10:43:33,669 - connection - INFO - Подключение от ('127.0.0.1', 57148)
2024-03-22 10:43:33,669 - connection - INFO - Клиент подключен: ('127.0.0.1', 57148)
2024-03-22 10:43:33,669 - connection - ERROR - Соединение прервано: ('127.0.0.1', 57148)
2024-03-22 10:43:33,669 - connection - INFO - Клиент отключен: ('127.0.0.1', 57148)
2024-03-22 10:43:33,854 - connection - INFO - Подключение от ('127.0.0.1', 57149)
2024-03-22 10:43:33,855 - connection - INFO - Клиент подключен: ('127.0.0.1', 57149)
2024-03-22 10:43:33,855 - connection - ERROR - Соединение прервано: ('127.0.0.1', 57149)
2024-03-22 10:43:33,855 - connection - INFO - Клиент отключен: ('127.0.0.1', 57149)
2024-03-22 10:43:34,101 - connection - INFO - Подключение от ('127.0.0.1', 57150)
2024-03-22 10:43:34,101 - connection - INFO - Клиент подключен: ('127.0.0.1', 57150)
2024-03-22 10:43:34,102 - connection - INFO - Клиент отключен: ('127.0.0.1', 57150)
2024-03-22 10:43:34,317 - connection - INFO - Подключение от ('127.0.0.1', 57151)
2024-03-22 10:43:34,317 - connection - INFO - Клиент подключен: ('127.0.0.1', 57151)
2024-03-22 10:43:34,317 - connection - ERROR - Соединение прервано: ('127.0.0.1', 57151)
2024-03-22 10:43:34,318 - connection - INFO - Клиент отключен: ('127.0.0.1', 57151)
2024-03-22 10:43:34,528 - connection - INFO - Подключение от ('127.0.0.1', 57152)
2024-03-22 10:43:34,528 - connection - INFO - Клиент подключен: ('127.0.0.1', 57152)
2024-03-22 10:43:34,529 - connection - ERROR - Соединение прервано: ('127.0.0.1', 57152)
2024-03-22 10:43:34,529 - connection - INFO - Клиент отключен: ('127.0.0.1', 57152)
2024-03-22 10:43:34,718 - connection - INFO - Подключение от ('127.0.0.1', 57153)
2024-03-22 10:43:34,718 - connection - INFO - Клиент подключен: ('127.0.0.1', 57153)
2024-03-22 10:43:34,719 - connection - ERROR - Соединение прервано: ('127.0.0.1', 57153)
2024-03-22 10:43:34,719 - connection - INFO - Клиент отключен: ('127.0.0.1', 57153)
2024-03-22 10:43:34,915 - connection - INFO - Подключение от ('127.0.0.1', 57154)
2024-03-22 10:43:34,916 - connection - INFO - Клиент подключен: ('127.0.0.1', 57154)
2024-03-22 10:43:34,917 - connection - ERROR - Соединение прервано: ('127.0.0.1', 57154)
2024-03-22 10:43:34,917 - connection - INFO - Клиент отключен: ('127.0.0.1', 57154)
2024-03-22 10:43:35,905 - connection - INFO - Подключение от ('127.0.0.1', 57155)
2024-03-22 10:43:35,906 - connection - INFO - Клиент подключен: ('127.0.0.1', 57155)
2024-03-22 10:43:35,906 - connection - INFO - Клиент отключен: ('127.0.0.1', 57155)
2024-03-22 10:43:36,115 - connection - INFO - Подключение от ('127.0.0.1', 57156)
2024-03-22 10:43:36,115 - connection - INFO - Клиент подключен: ('127.0.0.1', 57156)
2024-03-22 10:43:36,116 - connection - INFO - Авторизация успешна: 
2024-03-22 10:43:36,116 - connection - ERROR - Соединение прервано: ('127.0.0.1', 57156)
2024-03-22 10:43:36,116 - connection - INFO - Клиент отключен: ('127.0.0.1', 57156)
2024-03-22 10:43:36,320 - connection - INFO - Подключение от ('127.0.0.1', 57157)
2024-03-22 10:43:36,321 - connection - INFO - Клиент подключен: ('127.0.0.1', 57157)
2024-03-22 10:43:36,321 - connection - INFO - Авторизация успешна: 
2024-03-22 10:43:36,321 - connection - ERROR - Соединение прервано: ('127.0.0.1', 57157)
2024-03-22 10:43:36,321 - connection - INFO - Клиент отключен: ('127.0.0.1', 57157)
2024-03-22 10:43:36,523 - connection - INFO - Подключение от ('127.0.0.1', 57158)
2024-03-22 10:43:36,523 - connection - INFO - Клиент подключен: ('127.0.0.1', 57158)
2024-03-22 10:43:36,523 - connection - INFO - Авторизация успешна: 
2024-03-22 10:43:36,524 - connection - ERROR - Соединение прервано: ('127.0.0.1', 57158)
2024-03-22 10:43:36,524 - connection - INFO - Клиент отключен: ('127.0.0.1', 57158)
2024-03-22 10:43:36,696 - connection - INFO - Подключение от ('127.0.0.1', 57159)
2024-03-22 10:43:36,696 - connection - INFO - Клиент подключен: ('127.0.0.1', 57159)
2024-03-22 10:43:36,697 - connection - INFO - Авторизация успешна: 
2024-03-22 10:43:36,697 - connection - ERROR - Соединение прервано: ('127.0.0.1', 57159)
2024-03-22 10:43:36,697 - connection - INFO - Клиент отключен: ('127.0.0.1', 57159)
2024-03-22 10:45:35,354 - connection - INFO - Сервер запущен и слушает 0.0.0.0:12345
2024-03-22 10:45:38,725 - connection - INFO - Подключение от ('127.0.0.1', 57226)
2024-03-22 10:45:38,726 - connection - INFO - Клиент подключен: ('127.0.0.1', 57226)
2024-03-22 10:45:38,728 - connection - ERROR - Попытка записи в разорванное соединение: ('127.0.0.1', 57226)
2024-03-22 10:45:38,728 - connection - INFO - Клиент отключен: ('127.0.0.1', 57226)
2024-03-22 10:46:53,418 - connection - INFO - Сервер запущен и слушает 0.0.0.0:12345
2024-03-22 10:46:55,749 - connection - INFO - Подключение от ('127.0.0.1', 57248)
2024-03-22 10:46:55,750 - connection - INFO - Клиент подключен: ('127.0.0.1', 57248)
2024-03-22 10:46:55,751 - connection - INFO - Клиент отключен: ('127.0.0.1', 57248)
2024-03-22 10:46:55,751 - connection - ERROR - OSError [9]: Bad file descriptor для ('127.0.0.1', 57248)
2024-03-22 10:46:55,751 - connection - INFO - Клиент отключен: ('127.0.0.1', 57248)
2024-03-22 10:47:17,929 - connection - INFO - Сервер запущен и слушает 0.0.0.0:12345
2024-03-22 10:47:19,985 - connection - INFO - Подключение от ('127.0.0.1', 57264)
2024-03-22 10:47:19,986 - connection - INFO - Клиент подключен: ('127.0.0.1', 57264)
2024-03-22 10:47:19,986 - connection - INFO - Клиент отключен: ('127.0.0.1', 57264)
2024-03-22 10:47:19,986 - connection - ERROR - OSError [9]: Bad file descriptor для ('127.0.0.1', 57264)
2024-03-22 10:47:19,986 - connection - INFO - Клиент отключен: ('127.0.0.1', 57264)
2024-03-22 10:47:44,440 - connection - INFO - Сервер запущен и слушает 0.0.0.0:12345
2024-03-22 10:47:46,126 - connection - INFO - Подключение от ('127.0.0.1', 57270)
2024-03-22 10:47:46,127 - connection - INFO - Клиент подключен: ('127.0.0.1', 57270)
